starttime	seconds	ctime	dtime	ttime	wait
Tue Nov 18 18:51:05 2014	1416316865	31	85	116	85
Tue Nov 18 18:51:05 2014	1416316865	31	85	117	85
Tue Nov 18 18:51:05 2014	1416316865	40	83	123	82
Tue Nov 18 18:51:05 2014	1416316865	40	83	123	83
Tue Nov 18 18:51:05 2014	1416316865	31	94	125	94
Tue Nov 18 18:51:05 2014	1416316865	32	94	125	86
Tue Nov 18 18:51:05 2014	1416316865	46	80	126	75
Tue Nov 18 18:51:06 2014	1416316866	53	75	128	75
Tue Nov 18 18:51:06 2014	1416316866	53	75	128	75
Tue Nov 18 18:51:05 2014	1416316865	46	82	128	82
Tue Nov 18 18:51:05 2014	1416316865	28	101	129	101
Tue Nov 18 18:51:05 2014	1416316865	28	101	129	101
Tue Nov 18 18:51:06 2014	1416316866	58	72	130	72
Tue Nov 18 18:51:06 2014	1416316866	53	78	131	75
Tue Nov 18 18:51:06 2014	1416316866	9	122	131	122
Tue Nov 18 18:51:06 2014	1416316866	12	120	133	120
Tue Nov 18 18:51:06 2014	1416316866	52	81	133	81
Tue Nov 18 18:51:06 2014	1416316866	13	120	133	120
Tue Nov 18 18:51:06 2014	1416316866	12	121	133	121
Tue Nov 18 18:51:06 2014	1416316866	56	78	134	78
Tue Nov 18 18:51:06 2014	1416316866	56	78	134	78
Tue Nov 18 18:51:05 2014	1416316865	62	73	135	73
Tue Nov 18 18:51:05 2014	1416316865	62	73	135	73
Tue Nov 18 18:51:05 2014	1416316865	61	73	135	73
Tue Nov 18 18:51:05 2014	1416316865	62	73	135	73
Tue Nov 18 18:51:05 2014	1416316865	62	73	135	73
Tue Nov 18 18:51:06 2014	1416316866	11	124	135	122
Tue Nov 18 18:51:06 2014	1416316866	9	126	136	126
Tue Nov 18 18:51:06 2014	1416316866	10	126	136	126
Tue Nov 18 18:51:06 2014	1416316866	10	126	136	125
Tue Nov 18 18:51:05 2014	1416316865	64	72	136	72
Tue Nov 18 18:51:05 2014	1416316865	24	114	138	114
Tue Nov 18 18:51:05 2014	1416316865	25	114	138	113
Tue Nov 18 18:51:05 2014	1416316865	22	116	139	116
Tue Nov 18 18:51:05 2014	1416316865	22	116	139	116
Tue Nov 18 18:51:05 2014	1416316865	22	117	139	117
Tue Nov 18 18:51:05 2014	1416316865	23	116	139	116
Tue Nov 18 18:51:05 2014	1416316865	22	117	139	116
Tue Nov 18 18:51:06 2014	1416316866	10	129	139	129
Tue Nov 18 18:51:05 2014	1416316865	65	75	139	75
Tue Nov 18 18:51:05 2014	1416316865	65	75	140	75
Tue Nov 18 18:51:06 2014	1416316866	46	93	140	93
Tue Nov 18 18:51:06 2014	1416316866	46	93	140	93
Tue Nov 18 18:51:06 2014	1416316866	46	94	140	93
Tue Nov 18 18:51:05 2014	1416316865	65	75	140	75
Tue Nov 18 18:51:05 2014	1416316865	65	75	140	75
Tue Nov 18 18:51:05 2014	1416316865	25	115	140	115
Tue Nov 18 18:51:05 2014	1416316865	26	115	140	115
Tue Nov 18 18:51:05 2014	1416316865	25	115	140	115
Tue Nov 18 18:51:05 2014	1416316865	65	76	140	76
Tue Nov 18 18:51:05 2014	1416316865	66	75	141	75
Tue Nov 18 18:51:05 2014	1416316865	24	117	141	117
Tue Nov 18 18:51:05 2014	1416316865	60	81	141	81
Tue Nov 18 18:51:05 2014	1416316865	24	117	141	117
Tue Nov 18 18:51:05 2014	1416316865	24	117	141	114
Tue Nov 18 18:51:06 2014	1416316866	28	114	142	114
Tue Nov 18 18:51:06 2014	1416316866	28	114	142	114
Tue Nov 18 18:51:06 2014	1416316866	31	111	142	111
Tue Nov 18 18:51:06 2014	1416316866	31	111	142	111
Tue Nov 18 18:51:05 2014	1416316865	28	115	143	115
Tue Nov 18 18:51:05 2014	1416316865	28	115	143	115
Tue Nov 18 18:51:05 2014	1416316865	27	116	143	101
Tue Nov 18 18:51:06 2014	1416316866	42	101	143	101
Tue Nov 18 18:51:05 2014	1416316865	22	122	144	122
Tue Nov 18 18:51:06 2014	1416316866	49	96	144	95
Tue Nov 18 18:51:06 2014	1416316866	49	95	144	95
Tue Nov 18 18:51:06 2014	1416316866	44	100	144	100
Tue Nov 18 18:51:06 2014	1416316866	49	95	144	95
Tue Nov 18 18:51:06 2014	1416316866	46	98	144	98
Tue Nov 18 18:51:06 2014	1416316866	31	113	144	111
Tue Nov 18 18:51:05 2014	1416316865	23	122	144	116
Tue Nov 18 18:51:05 2014	1416316865	22	122	144	122
Tue Nov 18 18:51:06 2014	1416316866	43	101	145	101
Tue Nov 18 18:51:06 2014	1416316866	48	96	145	96
Tue Nov 18 18:51:06 2014	1416316866	42	103	145	101
Tue Nov 18 18:51:06 2014	1416316866	50	94	145	94
Tue Nov 18 18:51:06 2014	1416316866	50	94	145	94
Tue Nov 18 18:51:06 2014	1416316866	42	103	145	103
Tue Nov 18 18:51:06 2014	1416316866	51	94	145	93
Tue Nov 18 18:51:06 2014	1416316866	43	102	145	102
Tue Nov 18 18:51:06 2014	1416316866	46	100	145	99
Tue Nov 18 18:51:06 2014	1416316866	49	97	145	97
Tue Nov 18 18:51:06 2014	1416316866	48	98	146	98
Tue Nov 18 18:51:06 2014	1416316866	48	98	146	98
Tue Nov 18 18:51:06 2014	1416316866	42	104	146	104
Tue Nov 18 18:51:06 2014	1416316866	46	100	146	100
Tue Nov 18 18:51:05 2014	1416316865	65	81	146	81
Tue Nov 18 18:51:06 2014	1416316866	45	102	147	101
Tue Nov 18 18:51:06 2014	1416316866	46	101	147	101
Tue Nov 18 18:51:06 2014	1416316866	41	106	148	106
Tue Nov 18 18:51:06 2014	1416316866	46	102	148	101
Tue Nov 18 18:51:06 2014	1416316866	49	99	148	98
Tue Nov 18 18:51:06 2014	1416316866	32	117	148	112
Tue Nov 18 18:51:06 2014	1416316866	32	117	148	117
Tue Nov 18 18:51:06 2014	1416316866	49	100	149	100
Tue Nov 18 18:51:06 2014	1416316866	46	103	149	103
Tue Nov 18 18:51:06 2014	1416316866	46	103	149	103
Tue Nov 18 18:51:06 2014	1416316866	48	101	149	101
Tue Nov 18 18:51:06 2014	1416316866	48	101	149	98
Tue Nov 18 18:51:06 2014	1416316866	49	100	149	100
Tue Nov 18 18:51:06 2014	1416316866	49	100	149	100
Tue Nov 18 18:51:06 2014	1416316866	41	108	149	108
Tue Nov 18 18:51:06 2014	1416316866	52	97	149	97
Tue Nov 18 18:51:06 2014	1416316866	46	104	149	103
Tue Nov 18 18:51:06 2014	1416316866	41	108	149	108
Tue Nov 18 18:51:06 2014	1416316866	46	103	149	103
Tue Nov 18 18:51:06 2014	1416316866	47	103	149	103
Tue Nov 18 18:51:06 2014	1416316866	47	103	150	103
Tue Nov 18 18:51:06 2014	1416316866	50	99	150	99
Tue Nov 18 18:51:06 2014	1416316866	50	99	150	99
Tue Nov 18 18:51:06 2014	1416316866	51	99	150	99
Tue Nov 18 18:51:06 2014	1416316866	46	103	150	103
Tue Nov 18 18:51:06 2014	1416316866	47	103	150	103
Tue Nov 18 18:51:06 2014	1416316866	51	99	150	99
Tue Nov 18 18:51:06 2014	1416316866	53	97	150	97
Tue Nov 18 18:51:06 2014	1416316866	53	98	150	97
Tue Nov 18 18:51:06 2014	1416316866	57	93	150	93
Tue Nov 18 18:51:06 2014	1416316866	55	95	151	95
Tue Nov 18 18:51:06 2014	1416316866	45	105	151	105
Tue Nov 18 18:51:06 2014	1416316866	52	98	151	98
Tue Nov 18 18:51:06 2014	1416316866	54	97	151	96
Tue Nov 18 18:51:06 2014	1416316866	30	122	151	121
Tue Nov 18 18:51:06 2014	1416316866	51	100	151	100
Tue Nov 18 18:51:06 2014	1416316866	31	120	151	120
Tue Nov 18 18:51:06 2014	1416316866	32	120	151	120
Tue Nov 18 18:51:06 2014	1416316866	32	119	151	117
